name,Position,college,Height,Weight,40-yd Dash,Vertical Jump,Bench Press,Broad Jump,3-Cone Drill,20-yd Shuttle,receptions,rec yards,Tds_x,carries,rush yards,YpC,Tds_y,CmpPct,pass yards,Tds,ints,P rating,Sacks,Tackles,rank
Sonny Styles,OLB,Ohio State ,77,244,4.46,4.46,,134,7.09,4.26,,,,,,,,,,,,,,82.0,4
Brandon Cisse,S,South Carolina ,72,189,,41.0,,131,,,,,,,,,,,,,,,,,43
Bud Clark,S,TCU,73,188,4.41,38.0,,0,,,,,,,,,,,,,,,,,67
Mansoor Delane,CB,LSU,72,187,4.35,,,0,,,,,,,,,,,,,,,,,15
Caleb Downs,S,Ohio State,71,206,,,,0,,,,,,,,,,,,,,,,,2
Daylen Everette,CB,Georgia ,73,196,4.38,,,124,,,,,,,,,,,,,,,,,73
Colton Hood,S,Tennessee,71,193,4.44,40.5,,125,,,,,,,,,,,,,,,,,34
Chris Johnson,CB,San Diego State,72,193,4.4,,,126,,,,,,,,,,,,,,,,,47
Jermod McCoy,CB,Tennessee ,72,188,,,,0,,,,,,,,,,,,,,,,,18
Emmanuel McNeil-Warren,S,Toledo ,75,201,4.52,,,0,,,,,,,,,,,,,,,,,26
D'Angelo Ponds,CB,Indiana ,68,182,,43.5,,0,,,,,,,,,,,,,,,,,42
Chandler Rivers,CB,Duke,69,185,4.4,39.0,,130,,,,,,,,,,,,,,,,,70
Keionte Scott,CB,Miami,71,193,4.33,,,0,,,,,,,,,,,,,,,,,48
Avieon Terrell,CB,Clemson,71,186,,,,123,,,,,,,,,,,,,,,,,29
Dillon Thieneman,S,Oregon,73,201,4.35,41.0,,0,,,,,,,,,,,,,,,,96.0,20
