2024
2	Bryce Young	Alabama	SO	QB	15	547	366	66.9	4872	8.9	47	7	167.52	36.5	324.8
3	C.J. Stroud	Ohio State	FR	QB	12	441	317	71.9	4435	10.1	44	6	186.56	36.8	369.6
4	Kenny Pickett	Pittsburgh	SR	QB	13	497	334	67.2	4319	8.7	42	7	165.27	38.2	332.2
5	Tanner Mordecai	SMU	JR	QB	12	454	308	67.8	3628	8.0	39	12	158.02	37.8	302.3
5	Sam Hartman	Wk Forest	SO	QB	14	508	299	58.9	4228	8.3	39	14	148.59	36.3	302.0
7	Will Rogers	Miss St	SO	QB	13	683	505	73.9	4739	6.9	36	9	146.98	52.5	364.5
7	Carson Strong	Nevada	JR	QB	12	523	366	70.0	4175	8.0	36	8	156.69	43.6	347.9
7	Logan Bonner	Utah State	JR	QB	14	429	263	61.3	3628	8.5	36	12	154.45	30.6	259.1
10	Devin Leary	NC State	SO	QB	12	431	283	65.7	3433	8.0	35	5	157.05	35.9	286.1
11	Jake Haener	Fresno St	SR	QB	13	490	329	67.1	4096	8.4	33	9	155.92	37.7	315.1
12	Brennan Armstrong	Virginia	JR	QB	11	500	326	65.2	4449	8.9	31	10	156.40	45.5	404.5
12	Hendon Hooker	Tennessee	SR	QB	13	303	206	68.0	2945	9.7	31	3	181.41	23.3	226.5
14	Clayton Tune	Houston	JR	QB	14	420	287	68.3	3546	8.4	30	10	158.06	30.0	253.3
14	Desmond Ridder	Cincinnati	SR	QB	14	387	251	64.9	3334	8.6	30	8	158.68	27.6	238.1
16	Stetson Bennett	Georgia	SR	QB	14	287	185	64.5	2862	10.0	29	7	176.69	20.5	204.4
17	Aidan O'Connell	Purdue	SR	QB	12	439	315	71.8	3708	8.4	28	11	158.74	36.6	309.0
18	Grayson McCall	Coast Car	SO	QB	11	241	176	73.0	2873	11.9	27	3	207.65	21.9	261.2
18	Payton Thorne	Mich St	SO	QB	13	389	235	60.4	3232	8.3	27	10	147.97	29.9	248.6
18	Chase Brice	App St	SR	QB	14	390	242	62.1	3337	8.6	27	11	151.13	27.9	238.4
18	Max Johnson	LSU	SO	QB	12	373	225	60.3	2814	7.5	27	6	144.36	31.1	234.5
