pick,team name,name,position,college,year
11,Dolphins,Minkah Fitzpatrick,S,Alabama,2018
12,Buccaneers,Vita Vea,DT,Washington,2018
13,Redskins,Daron Payne,DT,Alabama,2018
14,Saints,Marcus Davenport,DE,Texas-San Antonio,2018
15,Raiders,Kolton Miller,OT,UCLA,2018
16,Bills,Tremaine Edmunds,ILB,Virginia Tech,2018
17,Chargers,Derwin James,S,Florida State,2018
18,Packers,Jaire Alexander,CB,Louisville,2018
19,Cowboys,Leighton Vander Esch,ILB,Boise State,2018
20,Lions,Frank Ragnow,C,Arkansas,2018
21,Bengals,Billy Price,C,Ohio State,2018
22,Titans,Rashaan Evans,OLB,Alabama,2018
23,Patriots,Isaiah Wynn,T,Georgia,2018
24,Panthers,DJ Moore,WR,Maryland,2018
25,Ravens,Hayden Hurst,TE,South Carolina,2018
26,Falcons,Calvin Ridley,WR,Alabama,2018
27,Seahawks,Rashaad Penny,RB,San Diego State,2018
28,Steelers,Terrell Edmunds,S,Virginia Tech,2018
29,Jaguars,Taven Bryan,DT,Florida,2018
30,Vikings,Mike Hughes,CB,UCF,2018
31,Patriots,Sony Michel,RB,Georgia,2018
32,Ravens,Lamar Jackson,QB,Louisville,2018
1,Cardinals,Kyler Murray,QB,Oklahoma,2019
2,49ers,Nick Bosa,DE,Ohio State,2019
3,Jets,Quinnen Williams,DT,Alabama,2019
4,Raiders,Clelin Ferrell,DE,Clemson,2019
5,Buccaneers,Devin White,LB,LSU,2019
6,Giants,Daniel Jones,QB,Duke,2019
7,Jaguars,Josh Hines-Allen,EDGE,Kentucky,2019
8,Lions,T.J. Hockenson,TE,Iowa,2019
9,Bills,Ed Oliver,DT,Houston,2019
10,Steelers,Devin Bush,LB,Michigan,2019
11,Bengals,Jonah Williams,OT,Alabama,2019
12,Packers,Rashan Gary,DE,Michigan,2019
13,Dolphins,Christian Wilkins,DT,Clemson,2019
14,Falcons,Chris Lindstrom,G,Boston College,2019
15,Redskins,Dwayne Haskins,QB,Ohio State,2019
16,Panthers,Brian Burns,EDGE,Florida State,2019
17,Giants,Dexter Lawrence,DT,Clemson,2019
18,Vikings,Garrett Bradbury,C,N.C. State,2019
19,Titans,Jeffery Simmons,DT,Mississippi State,2019
20,Broncos,Noah Fant,TE,Iowa,2019
21,Packers,Darnell Savage,S,Maryland,2019
22,Eagles,Andre Dillard,T,Washington State,2019
23,Texans,Tytus Howard,T,Alabama State,2019
24,Raiders,Josh Jacobs,RB,Alabama,2019
25,Ravens,Marquise Brown,WR,Oklahoma,2019
26,Redskins,Montez Sweat,EDGE,Mississippi State,2019
27,Raiders,Johnathan Abram,S,Mississippi State,2019
28,Chargers,Jerry Tillery,DT,Notre Dame,2019
29,Seahawks,L.J. Collier,DE,TCU,2019
30,Giants,Deandre Baker,CB,Georgia,2019
31,Falcons,Kaleb McGary,T,Washington,2019
32,Patriots,N'Keal Harry,WR,Arizona State,2019
1,Bengals,Joe Burrow,QB,LSU,2020
2,Football Team,Chase Young,DE,Ohio State,2020
3,Lions,Jeff Okudah,CB,Ohio State,2020
4,Giants,Andrew Thomas,T,Georgia,2020
5,Dolphins,Tua Tagovailoa,QB,Alabama,2020
6,Chargers,Justin Herbert,QB,Oregon,2020
7,Panthers,Derrick Brown,DT,Auburn,2020
8,Cardinals,Isaiah Simmons,LB,Clemson,2020
9,Jaguars,C.J. Henderson,CB,Florida,2020
10,Browns,Jedrick Wills,T,Alabama,2020
11,Jets,Mekhi Becton,T,Louisville,2020
12,Raiders,Henry Ruggs III,WR,Alabama,2020
13,Buccaneers,Tristan Wirfs,T,Iowa,2020
14,49ers,Javon Kinlaw,DT,South Carolina,2020
