rank,name,college,class,pos,CmpPct,pass yards,PTds,ints,P rating,year
8,Spencer Rattler,Oklahoma,FR,QB,67.5,3031,28,7,172.56,2020
9,Carson Strong,Nevada,SO,QB,70.1,2858,27,4,160.62,2020
10,Sam Ehlinger,Texas,SR,QB,60.2,2566,26,5,150.73,2020
10,Grayson McCall,Coast Car,FR,QB,68.8,2488,26,3,184.32,2020
12,Trevor Lawrence,Clemson,JR,QB,69.2,3153,24,5,169.18,2020
13,Shane Buechele,SMU,SR,QB,65.4,3095,23,6,152.95,2020
13,D'Eriq King,Miami (Fl),SR,QB,64.1,2686,23,5,152.74,2020
15,Justin Fields,Ohio State,JR,QB,70.2,2100,22,6,175.56,2020
1,Joe Burrow,LSU,SR,QB,76.3,5671,60,6,201.96,2019
2,Anthony Gordon,Wash St,SR,QB,71.8,5579,48,16,158.38,2019
3,Justin Fields,Ohio State,SO,QB,67.2,3273,41,3,181.43,2019
4,Sam Howell,N Carolina,FR,QB,61.4,3641,38,7,160.25,2019
5,Trevor Lawrence,Clemson,SO,QB,65.8,3665,36,8,166.75,2019
6,Shane Buechele,SMU,JR,QB,62.7,3929,34,10,148.82,2019
6,Ian Book,Notre Dame,SR,QB,60.2,3034,34,6,149.13,2019
8,Tua Tagovailoa,Alabama,JR,QB,71.4,2840,33,3,206.93,2019
8,Cole McDonald,Hawai'i,JR,QB,63.8,4135,33,14,147.60,2019
8,Brady White,Memphis,JR,QB,64.0,4014,33,11,165.02,2019
11,Sam Ehlinger,Texas,JR,QB,65.2,3663,32,10,151.82,2019
11,Jalen Hurts,Oklahoma,SR,QB,69.7,3851,32,8,191.20,2019
11,Justin Herbert,Oregon,SR,QB,66.8,3471,32,6,156.81,2019
1,Dwayne Haskins,Ohio State,SO,QB,70.0,4831,50,8,174.08,2019
2,Tua Tagovailoa,Alabama,SO,QB,69.0,3966,43,6,199.44,2019
3,Kyler Murray,Oklahoma,JR,QB,69.0,4361,42,7,199.20,2019
4,Gardner Minshew II,Wash St,SR,QB,70.7,4779,38,9,147.56,2019
5,Will Grier,WVU,SR,QB,67.0,3864,37,8,175.49,2019
6,Cole McDonald,Hawai'i,SO,QB,58.9,3875,36,10,146.55,2019
6,D'Eriq King,Houston,JR,QB,63.5,2982,36,6,167.04,2019
8,Taylor Cornelius,Okla St,SR,QB,59.4,3978,32,13,144.69,2019
8,Jordan Love,Utah State,SO,QB,64.0,3567,32,6,158.32,2019
10,Brett Rypien,Boise St,SR,QB,67.3,3705,30,7,155.99,2019
10,Trevor Lawrence,Clemson,FR,QB,65.2,3280,30,4,157.56,2019
10,Jake Fromm,Georgia,SO,QB,67.3,2749,30,6,171.22,2019
13,K.J. Costello,Stanford,JR,QB,65.1,3540,29,11,154.97,2019
13,Brent Stockstill,MTSU,SR,QB,70.3,3544,29,10,150.74,2019
13,Justin Herbert,Oregon,JR,QB,59.4,3151,29,8,144.66,2019
